89.246.241.14,2583,822,328,504,225,306,6,14,378,TMD Friction Shared Services,Germany,Automotive,8242
35.217.47.218,3750,1993,681,0,0,1076,0,0,0,NULL,NULL,NULL,7627
35.211.227.170,3438,1884,599,0,0,955,0,0,0,NULL,NULL,NULL,7093
35.208.38.153,3399,1811,622,0,0,966,0,0,0,NULL,NULL,NULL,6955
34.238.56.48,2037,938,366,164,214,306,13,21,15,NULL,NULL,NULL,6932
192.16.75.60,2093,761,454,232,154,386,27,21,58,NULL,NULL,NULL,6413
54.173.15.185,1516,719,797,0,0,0,0,0,0,NULL,NULL,NULL,5345
94.100.133.41,1316,6,1301,0,0,9,0,0,0,NULL,NULL,NULL,5213
3.126.219.214,1386,1110,276,0,0,0,0,0,0,NULL,NULL,NULL,4434
3.126.213.63,1342,1077,265,0,0,0,0,0,0,NULL,NULL,NULL,4291
3.120.241.215,1334,1078,256,0,0,0,0,0,0,NULL,NULL,NULL,4258
54.71.6.36,1247,1200,47,0,0,0,0,0,0,NULL,NULL,NULL,3788
54.203.141.159,1138,1076,61,0,1,0,0,0,0,NULL,NULL,NULL,3482
54.244.195.39,1101,1029,72,0,0,0,0,0,0,NULL,NULL,NULL,3375
140.89.104.3,1104,528,194,31,79,122,7,0,143,NULL,NULL,NULL,3183
54.213.105.108,954,764,190,0,0,0,0,0,0,NULL,NULL,NULL,3052
34.220.246.118,924,744,180,0,0,0,0,0,0,NULL,NULL,NULL,2952
3.82.129.216,837,713,27,54,43,0,0,0,0,NULL,NULL,NULL,2947
34.219.164.146,887,696,191,0,0,0,0,0,0,NULL,NULL,NULL,2852
35.164.64.244,876,690,186,0,0,0,0,0,0,NULL,NULL,NULL,2814
